Fault: 08-05-2021 17:35:43 - Incorrect content type https://i.ua
Fault: 08-05-2021 17:37:30 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 08-05-2021 17:37:53 - Incorrect server code https://kraft.net.ua/upload/metodicheskie-materialy-po-kursu-1s.php
Fault: 08-05-2021 17:39:40 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 08-05-2021 17:40:00 - Incorrect server code https://kraft.net.ua/upload/metodicheskie-materialy-po-kursu-1s.php
Fault: 08-05-2021 17:40:53 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 08-05-2021 17:41:07 - Incorrect server code https://kraft.net.ua/upload/metodicheskie-materialy-po-kursu-1s.php
Fault: 08-05-2021 21:01:43 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 08-05-2021 21:02:03 - Incorrect server code https://kraft.net.ua/upload/metodicheskie-materialy-po-kursu-1s.php
Fault: 10-05-2021 19:39:54 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 10-05-2021 19:40:23 - Incorrect server code https://kraft.net.ua/upload/metodicheskie-materialy-po-kursu-1s.php
Fault: 10-05-2021 19:40:42 - Incorrect server code https://kraft.net.ua//kraft.net.ua
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/s-a-b/1s-pidpryiemstvo/oglyad-sistemi-1s-pidpryiemstvo
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/bitrix_crm_cms/1c-bitrix/zakazat-1c-bitriks.php?note=1C-Бітрікс
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-kerivnik-ceo.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-pr-menedzher.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-spetsialist-z-bezpeki.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-hr-menedzher.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-partner-yuridichnoi-kompanii.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-auditor.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-rolovi-robochi-mistsya/liga360-suddya.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/liga360-produkti-liga-zakon/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Liga/connect/testdrive.php
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/sota/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/sota/sota/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/sota/moduli_sota/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/faq/voprosy_po_programme_medok/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/faq/voprosy_po_ecp/
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/elektronnaya-podpis/medoc/zayavka_na_medoc/?source=price-programma-medoc&note=Звітність Неплатник ПДВ
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/Reports/MEDOC/zayavka-na-m-e-doc-is.php?source=m_e_dok_onovlennya&note=Программа «M.E.Doc»
Fault: 10-05-2021 19:41:00 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-onovlennya-versiyi-11-02-033-11-02-034/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-onovlennya-versii-11-02-029-11-02-030/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-027-11-02-028/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-026-11-02-027/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-025-11-02-026/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-024-11-02-025/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-023-11-02-024/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-022-11-02-023/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-021-11-02-022/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-020-11-02-021/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-019-11-02-020/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/news/medok-obnovleniya/paket-obnovleniya-versii-11-02-018-11-02-019/
Fault: 10-05-2021 19:41:01 - Incorrect server code https://kraft.net.ua/Reports/MEDOC/zayavka-na-m-e-doc-is.php?note=Модуль «Электронный документооборот»
